N,P,K,temperature,humidity,ph,rainfall,label
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,grapes
25,68,19,29.39982732,64.25510719,7.1084501210000015,67.47677295,blackgram
41,69,82,20.02381489,16.63294455,6.715587232000001,68.97806542,chickpea
70,43,40,24.35564134,88.80391021,6.176860192,169.11680280000004,jute
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
38,68,54,29.33710543,90.81781439,6.739170045,202.0572747,papaya
39,21,9,13.20844373,94.02769434,6.354022554,106.2696156,orange
121,53,19,23.51308653,76.72621429,7.976889497999999,80.11272117,cotton
95,88,52,28.00316034,78.90085998,6.235461772000001,94.68180316,banana
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,muskmelon
63,50,52,28.64555584,93.22642604,6.751747609,115.8163936,papaya
22,144,196,21.91191314,91.68748063,6.4992268210000015,117.0761277,apple
30,7,15,33.23453301,91.06053924,7.825531916,115.7659902,orange
21,9,40,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas
39,64,53,23.012401800000006,91.07355541,6.598860305,208.3357976,papaya
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
31,11,45,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
35,67,49,41.31330062,91.1508798,6.617066674,239.7427554,papaya
39,132,196,35.83089092,83.32560104,5.778594403,73.67984885,grapes
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
103,42,17,24.29470232,84.61527627,6.527541661,81.05902285,cotton
62,56,35,25.97825807,81.65769588,6.235357637999999,163.3488091,jute
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
0,74,17,23.33375853,64.50515776,7.240988401,47.01510708,lentil
